iso3code,area_name,who_region,indicator,sex,year,value_str
AND,Andorra,EURO,prHPVc_F,Female,2019,64%
ARE,United Arab Emirates (the),EMRO,prHPV1_F,Female,2019,28%
ARE,United Arab Emirates (the),EMRO,prHPVc_F,Female,2019,27%
ARG,Argentina,AMRO,prHPV1_F,Female,2019,84%
ARG,Argentina,AMRO,prHPVc_F,Female,2019,57%
ARG,Argentina,AMRO,15HPV1_F,Female,2019,81%
ARG,Argentina,AMRO,15HPVc_F,Female,2019,49%
ARM,Armenia,EURO,prHPV1_F,Female,2019,17%
ARM,Armenia,EURO,prHPVc_F,Female,2019,7%
ATG,Antigua and Barbuda,AMRO,prHPV1_F,Female,2019,10%†
ATG,Antigua and Barbuda,AMRO,15HPV1_F,Female,2019,7%
AUS,Australia,WPRO,prHPV1_F,Female,2019,89%
AUS,Australia,WPRO,prHPVc_F,Female,2019,79%
AUS,Australia,WPRO,15HPV1_F,Female,2019,89%†
AUS,Australia,WPRO,15HPVc_F,Female,2019,80%†
BEL,Belgium,EURO,prHPV1_F,Female,2019,71%†
BEL,Belgium,EURO,prHPVc_F,Female,2019,67%†
BEL,Belgium,EURO,15HPV1_F,Female,2019,71%†
BEL,Belgium,EURO,15HPVc_F,Female,2019,67%†
BGR,Bulgaria,EURO,prHPV1_F,Female,2019,7%†
BGR,Bulgaria,EURO,prHPVc_F,Female,2019,5%†
BGR,Bulgaria,EURO,15HPV1_F,Female,2019,9%
BGR,Bulgaria,EURO,15HPVc_F,Female,2019,6%
BHS,Bahamas (the),AMRO,prHPV1_F,Female,2019,29%
BHS,Bahamas (the),AMRO,prHPVc_F,Female,2019,9%
BHS,Bahamas (the),AMRO,15HPV1_F,Female,2019,25%
BHS,Bahamas (the),AMRO,15HPVc_F,Female,2019,14%
BLZ,Belize,AMRO,prHPV1_F,Female,2019,99%*
BLZ,Belize,AMRO,prHPVc_F,Female,2019,89%
BOL,Bolivia (Plurinational State of),AMRO,prHPV1_F,Female,2019,88%
BOL,Bolivia (Plurinational State of),AMRO,prHPVc_F,Female,2019,80%
BRA,Brazil,AMRO,prHPV1_F,Female,2019,83%
BRA,Brazil,AMRO,prHPVc_F,Female,2019,69%
BRA,Brazil,AMRO,15HPV1_F,Female,2019,72%
BRA,Brazil,AMRO,15HPVc_F,Female,2019,73%
BRB,Barbados,AMRO,prHPV1_F,Female,2019,66%
BRB,Barbados,AMRO,prHPVc_F,Female,2019,29%
BRB,Barbados,AMRO,15HPV1_F,Female,2019,74%
