Country,Total,Never Heard Vaccine
United States,1006,22
Egypt,1000,6
Morocco,1001,19
Lebanon,1000,8
Saudi Arabia,1016,64
Jordan,1002,19
Turkey,1000,90
Pakistan,1000,213
Indonesia,1000,288
Bangladesh,1000,17
United Kingdom,1000,27
France,1000,25
Germany,1000,51
Netherlands,1001,129
Belgium,1004,28
Spain,1000,12
Italy,1000,9
Poland,1000,117
Hungary,1000,36
Czech Republic,1000,8
Romania,1002,37
Sweden,1000,17
Greece,1000,26
Denmark,1000,42
Iran,1005,63
Singapore,1000,110
Japan,1004,58
China,3649,344
India,3000,256
Venezuela,1000,99
Brazil,1000,49
Mexico,1034,73
Nigeria,1000,165
Kenya,1000,86
Tanzania,1000,63
Israel,1010,11
Palestinian Territories,1000,14
Ghana,1000,268
Uganda,1000,156
Benin,1000,179
Madagascar,1000,157
Malawi,1000,114
South Africa,1000,560
Canada,1012,21
Australia,1003,20
Philippines,1000,61
Sri Lanka,1109,126
Vietnam,1012,468
Thailand,1000,189
Cambodia,1000,110
Laos,1001,387
Myanmar,1000,23
New Zealand,1002,25
Botswana,1002,561
Ethiopia,1000,22
Mali,1000,155
Mauritania,1000,105
Mozambique,1000,66
Niger,1000,250
Rwanda,1000,152
Senegal,1000,120
Zambia,1000,201
South Korea,1014,113
Taiwan,1000,6
Afghanistan,1000,7
Belarus,1061,42
Georgia,1000,121
Kazakhstan,1000,50
Kyrgyzstan,1000,155
Moldova,1000,36
Russia,2000,138
Ukraine,1000,26
Burkina Faso,1000,138
Cameroon,1000,51
Sierra Leone,1000,77
Zimbabwe,1000,100
Costa Rica,1000,43
Albania,1000,150
Algeria,1000,46
Argentina,1000,35
Armenia,1000,110
Austria,1000,111
Azerbaijan,1000,65
Bolivia,1000,68
Bosnia and Herzegovina,1000,59
Bulgaria,1001,32
Burundi,1000,71
Chad,1000,229
Chile,1000,82
Colombia,1000,76
Comoros,1000,94
Republic of Congo,1000,199
Croatia,1000,42
Cyprus,1011,275
Dominican Republic,1000,204
Ecuador,1000,75
El Salvador,1000,72
Estonia,1000,35
Finland,1000,4
Gabon,1000,34
Guatemala,1000,153
Guinea,1000,135
Haiti,500,100
Honduras,1000,93
Iceland,500,15
Iraq,1000,135
Ireland,1000,40
Ivory Coast,1000,69
Kuwait,1001,112
Latvia,1021,23
Liberia,1000,55
Libya,1003,105
Lithuania,1000,104
Luxembourg,1000,53
Macedonia,1008,48
Malaysia,1000,236
Malta,1007,73
Mauritius,1000,27
Mongolia,1000,62
Montenegro,1000,40
Namibia,1005,316
Nepal,1000,118
Nicaragua,1000,58
Norway,1000,110
Panama,1000,128
Paraguay,1000,110
Peru,1000,72
Portugal,1001,11
Serbia,1000,23
Slovakia,1000,98
Slovenia,1000,93
Eswatini,1000,84
Switzerland,1000,40
Tajikistan,1000,55
The Gambia,1000,161
Togo,1000,142
Tunisia,1001,89
Turkmenistan,1000,59
United Arab Emirates,1005,221
Uruguay,1000,38
Uzbekistan,1000,82
Yemen,1000,4
Kosovo,1000,80
