,iso3,country,vaccine,year,coverage(%)
0,BGD,Bangladesh,DTP3,2019,98.0
1,CHN,China,DTP3,2019,99.0
2,FRA,France,DTP3,2019,96.0
3,MYS,Malaysia,DTP3,2019,98.0
4,RWA,Rwanda,DTP3,2019,98.0
5,UKR,Ukraine,DTP3,2019,80.0
6,GBR,United Kingdom,DTP3,2019,93.0
7,USA,United States,DTP3,2019,94.0
8,BGD,Bangladesh,DTP3,2018,98.0
9,CHN,China,DTP3,2018,99.0
10,FRA,France,DTP3,2018,96.0
11,MYS,Malaysia,DTP3,2018,99.0
12,RWA,Rwanda,DTP3,2018,97.0
13,UKR,Ukraine,DTP3,2018,69.0
14,GBR,United Kingdom,DTP3,2018,94.0
15,USA,United States,DTP3,2018,94.0
16,BGD,Bangladesh,DTP3,2017,98.0
17,CHN,China,DTP3,2017,99.0
18,FRA,France,DTP3,2017,96.0
19,MYS,Malaysia,DTP3,2017,99.0
20,RWA,Rwanda,DTP3,2017,98.0
21,UKR,Ukraine,DTP3,2017,50.0
22,GBR,United Kingdom,DTP3,2017,94.0
23,USA,United States,DTP3,2017,95.0
24,BGD,Bangladesh,DTP3,2016,98.0
25,CHN,China,DTP3,2016,99.0
26,FRA,France,DTP3,2016,96.0
27,MYS,Malaysia,DTP3,2016,95.0
28,RWA,Rwanda,DTP3,2016,98.0
29,UKR,Ukraine,DTP3,2016,19.0
30,GBR,United Kingdom,DTP3,2016,94.0
31,USA,United States,DTP3,2016,95.0
32,BGD,Bangladesh,DTP3,2015,98.0
33,CHN,China,DTP3,2015,99.0
34,FRA,France,DTP3,2015,97.0
35,MYS,Malaysia,DTP3,2015,99.0
36,RWA,Rwanda,DTP3,2015,98.0
37,UKR,Ukraine,DTP3,2015,23.0
38,GBR,United Kingdom,DTP3,2015,95.0
39,USA,United States,DTP3,2015,95.0
40,BGD,Bangladesh,DTP3,2014,97.0
41,CHN,China,DTP3,2014,99.0
42,FRA,France,DTP3,2014,98.0
43,MYS,Malaysia,DTP3,2014,97.0
44,RWA,Rwanda,DTP3,2014,98.0
45,UKR,Ukraine,DTP3,2014,23.0
46,GBR,United Kingdom,DTP3,2014,95.0
47,USA,United States,DTP3,2014,95.0
48,BGD,Bangladesh,DTP3,2013,96.0
49,CHN,China,DTP3,2013,99.0
50,FRA,France,DTP3,2013,99.0
51,MYS,Malaysia,DTP3,2013,97.0
52,RWA,Rwanda,DTP3,2013,98.0
53,UKR,Ukraine,DTP3,2013,76.0
54,GBR,United Kingdom,DTP3,2013,95.0
55,USA,United States,DTP3,2013,94.0
56,BGD,Bangladesh,DTP3,2012,94.0
57,CHN,China,DTP3,2012,99.0
58,FRA,France,DTP3,2012,99.0
59,MYS,Malaysia,DTP3,2012,97.0
60,RWA,Rwanda,DTP3,2012,98.0
61,UKR,Ukraine,DTP3,2012,76.0
62,GBR,United Kingdom,DTP3,2012,95.0
63,USA,United States,DTP3,2012,94.0
64,BGD,Bangladesh,DTP3,2011,96.0
65,CHN,China,DTP3,2011,99.0
66,FRA,France,DTP3,2011,99.0
67,MYS,Malaysia,DTP3,2011,96.0
68,RWA,Rwanda,DTP3,2011,97.0
