,region,vaccine,year,coverage
0,Global,BCG,1980,15
1,Global,DTP1,1980,30
2,Global,DTP3,1980,20
3,Global,MCV1,1980,16
4,Global,POL3,1980,21
5,Global,RCV1,1980,3
6,Global,BCG,1981,21
7,Global,DTP1,1981,35
8,Global,DTP3,1981,23
9,Global,MCV1,1981,19
10,Global,POL3,1981,23
11,Global,RCV1,1981,3
12,Global,BCG,1982,23
13,Global,DTP1,1982,38
14,Global,DTP3,1982,25
15,Global,MCV1,1982,20
16,Global,POL3,1982,41
17,Global,RCV1,1982,4
18,Global,BCG,1983,36
19,Global,DTP1,1983,56
20,Global,DTP3,1983,38
21,Global,MCV1,1983,37
22,Global,POL3,1983,43
23,Global,RCV1,1983,4
24,Global,BCG,1984,44
25,Global,DTP1,1984,62
26,Global,DTP3,1984,45
27,Global,MCV1,1984,41
28,Global,POL3,1984,47
29,Global,RCV1,1984,5
30,Global,BCG,1985,48
31,Global,DTP1,1985,67
32,Global,DTP3,1985,49
33,Global,HEPB3,1985,0
34,Global,MCV1,1985,47
35,Global,POL3,1985,52
36,Global,RCV1,1985,5
37,Global,BCG,1986,52
38,Global,DTP1,1986,70
39,Global,DTP3,1986,52
40,Global,HEPB3,1986,0
41,Global,MCV1,1986,47
42,Global,POL3,1986,51
43,Global,RCV1,1986,5
44,Global,BCG,1987,61
45,Global,DTP1,1987,74
46,Global,DTP3,1987,56
47,Global,HEPB3,1987,0
48,Global,MCV1,1987,54
49,Global,POL3,1987,57
50,Global,RCV1,1987,5
51,Global,BCG,1988,67
52,Global,DTP1,1988,79
53,Global,DTP3,1988,64
54,Global,HEPB3,1988,0
55,Global,MCV1,1988,63
56,Global,POL3,1988,65
57,Global,RCV1,1988,6
58,Global,BCG,1989,70
59,Global,DTP1,1989,83
60,Global,DTP3,1989,68
61,Global,HEPB3,1989,0
62,Global,MCV1,1989,68
63,Global,POL3,1989,70
64,Global,RCV1,1989,7
65,Global,BCG,1990,81
66,Global,DTP1,1990,88
67,Global,DTP3,1990,75
68,Global,HEPB3,1990,1
69,Global,HIB3,1990,0
70,Global,MCV1,1990,73
71,Global,POL3,1990,75
72,Global,RCV1,1990,8
73,Global,BCG,1991,78
74,Global,DTP1,1991,86
75,Global,DTP3,1991,71
76,Global,HEPB3,1991,1
77,Global,HIB3,1991,0
78,Global,MCV1,1991,69
79,Global,POL3,1991,72
80,Global,RCV1,1991,9
81,Global,BCG,1992,78
82,Global,DTP1,1992,85
83,Global,DTP3,1992,70
84,Global,HEPB3,1992,3
85,Global,HIB3,1992,1
86,Global,MCV1,1992,69
87,Global,POL3,1992,70
88,Global,RCV1,1992,9
89,Global,BCG,1993,79
90,Global,DTP1,1993,85
91,Global,DTP3,1993,70
92,Global,HEPB3,1993,4
93,Global,HIB3,1993,1
94,Global,MCV1,1993,70
95,Global,POL3,1993,70
96,Global,RCV1,1993,10
97,Global,BCG,1994,80
98,Global,DTP1,1994,86
99,Global,DTP3,1994,73
100,Global,HEPB3,1994,8
101,Global,HIB3,1994,1
102,Global,MCV1,1994,71
103,Global,POL3,1994,73
104,Global,RCV1,1994,10
105,Global,BCG,1995,80
106,Global,DTP1,1995,87
107,Global,DTP3,1995,73
108,Global,HEPB3,1995,11
109,Global,HIB3,1995,4
110,Global,MCV1,1995,73
111,Global,POL3,1995,74
112,Global,RCV1,1995,12
113,Global,BCG,1996,80
114,Global,DTP1,1996,86
115,Global,DTP3,1996,72
116,Global,HEPB3,1996,13
117,Global,HIB3,1996,5
118,Global,MCV1,1996,73
119,Global,POL3,1996,74
120,Global,RCV1,1996,12
121,Global,BCG,1997,78
122,Global,DTP1,1997,86
123,Global,DTP3,1997,71
124,Global,HEPB3,1997,15
125,Global,HIB3,1997,5
126,Global,MCV1,1997,71
127,Global,POL3,1997,74
128,Global,RCV1,1997,12
129,Global,YFV,1997,3
130,Global,BCG,1998,79
131,Global,DTP1,1998,84
132,Global,DTP3,1998,72
133,Global,HEPB3,1998,15
134,Global,HIB3,1998,7
135,Global,MCV1,1998,71
136,Global,POL3,1998,73
137,Global,RCV1,1998,15
138,Global,YFV,1998,9
139,Global,BCG,1999,80
