var,val,idx
CONF_HOSP,106172,1.0
CONF_HOSP,36089,2.0
CONF_HOSP,6449,98.0
CONF_HOSP,304,99.0
CONF_NGO,75937,1.0
CONF_NGO,51044,2.0
CONF_NGO,21518,98.0
CONF_NGO,515,99.0
TRU_HCWADV,58470,1.0
TRU_HCWADV,63085,2.0
TRU_HCWADV,15955,3.0
TRU_HCWADV,4930,4.0
TRU_HCWADV,6291,98.0
TRU_HCWADV,283,99.0
TRU_GOVADV,42817,1.0
TRU_GOVADV,62214,2.0
TRU_GOVADV,22381,3.0
TRU_GOVADV,10373,4.0
TRU_GOVADV,9792,98.0
TRU_GOVADV,421,99.0
TRU_PPLADV,18046,1.0
TRU_PPLADV,5733,2.0
TRU_PPLADV,111651,3.0
TRU_PPLADV,1799,4.0
TRU_PPLADV,5222,5.0
TRU_PPLADV,3112,97.0
TRU_PPLADV,3092,98.0
TRU_PPLADV,359,99.0
TRUSCICOM_HON,22222,1.0
TRUSCICOM_HON,55705,2.0
TRUSCICOM_HON,30093,3.0
TRUSCICOM_HON,13595,4.0
TRUSCICOM_HON,26820,98.0
TRUSCICOM_HON,579,99.0
TRUSCICOM_BEN,28947,1.0
TRUSCICOM_BEN,60643,2.0
TRUSCICOM_BEN,27651,3.0
TRUSCICOM_BEN,11699,4.0
TRUSCICOM_BEN,19574,98.0
TRUSCICOM_BEN,500,99.0
TRUSCIUNI_HON,25892,1.0
TRUSCIUNI_HON,56913,2.0
TRUSCIUNI_HON,26166,3.0
TRUSCIUNI_HON,11388,4.0
TRUSCIUNI_HON,28078,98.0
TRUSCIUNI_HON,577,99.0
TRUSCIUNI_BEN,36995,1.0
TRUSCIUNI_BEN,60345,2.0
TRUSCIUNI_BEN,22080,3.0
TRUSCIUNI_BEN,8916,4.0
TRUSCIUNI_BEN,20195,98.0
TRUSCIUNI_BEN,483,99.0
TRUSCI_ACCINFO,44732,1.0
TRUSCI_ACCINFO,63231,2.0
TRUSCI_ACCINFO,18571,3.0
TRUSCI_ACCINFO,6402,4.0
TRUSCI_ACCINFO,15647,98.0
TRUSCI_ACCINFO,431,99.0
TRU_SC,49060,1.0
TRU_SC,62493,2.0
TRU_SC,17613,3.0
TRU_SC,6109,4.0
TRU_SC,13366,98.0
TRU_SC,373,99.0
TRU_TH,17099,1.0
TRU_TH,43865,2.0
TRU_TH,32277,3.0
TRU_TH,45286,4.0
TRU_TH,10101,98.0
TRU_TH,386,99.0
TRU_NGOPPL,26260,1.0
TRU_NGOPPL,58316,2.0
TRU_NGOPPL,29373,3.0
TRU_NGOPPL,17679,4.0
TRU_NGOPPL,16942,98.0
TRU_NGOPPL,444,99.0
TRU_HCW,59214,1.0
TRU_HCW,61035,2.0
TRU_HCW,18079,3.0
TRU_HCW,7094,4.0
TRU_HCW,3369,98.0
TRU_HCW,223,99.0
TRU_JO,24807,1.0
TRU_JO,57751,2.0
TRU_JO,34695,3.0
TRU_JO,19478,4.0
TRU_JO,11877,98.0
TRU_JO,406,99.0
TRU_SCI,43019,1.0
TRU_SCI,57342,2.0
TRU_SCI,20297,3.0
TRU_SCI,10747,4.0
TRU_SCI,17199,98.0
TRU_SCI,410,99.0
TRU_NATGOV,27196,1.0
TRU_NATGOV,43962,2.0
TRU_NATGOV,29210,3.0
TRU_NATGOV,28972,4.0
TRU_NATGOV,6123,98.0
TRU_NATGOV,867,99.0
TRU_NEIGHB,47888,1.0
TRU_NEIGHB,62142,2.0
TRU_NEIGHB,23206,3.0
TRU_NEIGHB,11835,4.0
TRU_NEIGHB,3722,98.0
TRU_NEIGHB,221,99.0
