CTRY,SC_KNOWL,UND_SCSCI,SC_DZ,SC_POET,SC_PS,SC_SS,SC_UNI,SCINFO_30D,MDHINFO_30D,SC_INT,MDH_INT,CONF_NGO,CONF_HOSP,TRU_NEIGHB,TRU_SCI,TRU_JO,TRU_HCW,TRU_NGOPPL,TRU_TH,TRU_SC,TRUSCI_ACCINFO,TRUSCIUNI_BEN,TRUSCIUNI_HON,TRUSCICOM_BEN,TRUSCICOM_HON,SCI_BENPPL,SCI_BENRESP,SCTECH_IMPRLIFE,SCTECH_JOBS,TRU_PPLADV,TRU_HCWADV,HRD_VAC,VAC_IMPTCH,VAC_SF,VAC_EFF,TRUSCI_IDX,TRUSCI_LVL,VW_SC,AGE,AGE_CAT,GEN,EDU,LIV_AR,RGN,SUBJ_HHI,CTRY_INC,EMP_STAT
41,2,2,1,2,1,1.0,2.0,1,1,1,1,2,1,2,4,1,2,3,2,4,1,3,2,4,4,2,1,1,1,3,1,1,1.0,4.0,3.0,2.2,1,2,17.0,1.0,1,2.0,1.0,1,1.0,1.0,1.0
62,2,2,1,2,1,1.0,2.0,2,2,1,1,1,2,2,3,3,2,2,3,2,3,3,3,2,2,3,1,1,1,3,3,1,1.0,2.0,1.0,2.2,1,2,16.0,1.0,1,2.0,1.0,5,3.0,2.0,6.0
99,3,2,1,98,1,1.0,97.0,2,2,2,2,98,1,1,1,3,1,98,3,1,1,1,98,1,98,1,1,1,3,3,1,1,1.0,1.0,99.0,4.0,3,1,45.0,2.0,1,2.0,1.0,14,3.0,3.0,1.0
68,1,1,1,2,1,1.0,1.0,1,1,1,1,2,1,3,2,4,2,3,4,1,1,3,3,4,3,3,1,1,1,3,1,1,1.0,2.0,1.0,2.4,1,2,31.0,2.0,1,3.0,2.0,10,1.0,4.0,1.0
12,4,3,1,2,1,1.0,2.0,2,2,2,2,2,1,4,3,4,3,2,98,3,1,1,3,2,3,2,1,1,2,3,1,1,3.0,3.0,3.0,3.0,2,2,33.0,2.0,1,2.0,2.0,15,2.0,4.0,6.0
53,3,2,1,2,2,1.0,2.0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,3,1,1,1.0,1.0,1.0,3.6,3,1,21.0,1.0,1,3.0,2.0,11,2.0,2.0,2.0
14,2,2,1,2,1,1.0,2.0,2,2,2,2,2,1,1,2,3,2,3,1,2,2,2,2,2,2,2,1,1,98,3,2,1,2.0,1.0,2.0,3.0,2,2,70.0,3.0,1,2.0,2.0,17,2.0,4.0,6.0
115,2,2,1,98,1,1.0,2.0,1,1,1,1,98,1,3,98,3,1,98,4,3,4,98,98,98,98,2,98,1,98,3,2,1,3.0,3.0,1.0,0.0,99,99,42.0,2.0,1,3.0,1.0,8,2.0,3.0,1.0
163,2,2,1,2,1,1.0,97.0,2,2,1,1,1,1,2,2,3,1,98,4,2,1,2,1,2,1,2,1,98,3,1,2,1,1.0,1.0,3.0,3.4,2,2,17.0,1.0,1,1.0,1.0,6,2.0,4.0,6.0
48,3,3,1,1,1,97.0,97.0,2,2,1,1,2,1,1,1,1,1,2,2,1,3,1,3,2,2,2,2,1,1,1,3,1,2.0,4.0,2.0,3.0,2,3,32.0,2.0,1,1.0,1.0,11,3.0,2.0,1.0
28,2,1,1,2,1,1.0,2.0,1,1,1,1,1,1,2,1,2,1,2,3,1,1,2,1,2,2,1,1,1,1,3,1,1,1.0,1.0,2.0,3.6,3,1,49.0,2.0,1,2.0,2.0,11,1.0,4.0,1.0
36,2,3,1,2,1,97.0,97.0,1,1,2,2,1,1,2,2,2,1,2,2,2,3,2,1,3,2,1,1,1,2,3,1,1,1.0,1.0,1.0,2.8,2,1,19.0,1.0,2,1.0,1.0,1,,2.0,4.0
18,4,2,1,2,1,1.0,97.0,2,1,2,1,98,1,1,98,2,98,98,4,2,3,3,3,3,3,3,98,1,2,3,3,1,1.0,1.0,1.0,2.0,1,99,28.0,1.0,2,2.0,1.0,16,1.0,4.0,3.0
197,4,3,98,98,97,97.0,97.0,2,2,2,2,98,1,3,98,98,2,98,98,98,98,98,98,98,98,98,98,98,98,3,2,1,2.0,2.0,2.0,0.0,99,99,22.0,1.0,2,1.0,1.0,13,2.0,1.0,6.0
68,3,2,1,2,1,1.0,99.0,2,1,2,1,2,1,2,2,3,2,2,2,2,2,1,98,2,98,2,1,1,1,3,2,1,2.0,2.0,2.0,3.25,2,2,54.0,3.0,2,2.0,2.0,10,2.0,4.0,6.0
57,2,2,1,1,1,1.0,2.0,2,2,1,1,1,2,4,3,3,3,3,4,3,3,3,3,1,1,1,1,1,1,3,1,1,1.0,5.0,99.0,2.4,1,1,32.0,2.0,2,1.0,1.0,4,2.0,3.0,4.0
108,2,2,1,1,2,1.0,1.0,1,1,1,1,98,1,2,1,1,2,4,2,1,2,1,2,2,98,98,2,1,1,98,3,1,2.0,2.0,1.0,3.4,2,99,15.0,1.0,1,,2.0,2,,2.0,6.0
55,3,4,1,98,98,1.0,97.0,2,1,2,1,1,1,98,2,3,3,98,3,2,2,2,2,3,3,3,2,1,2,3,2,1,1.0,4.0,4.0,2.8,2,4,52.0,3.0,2,2.0,1.0,18,3.0,4.0,5.0
68,2,2,1,2,1,1.0,2.0,2,2,2,2,1,1,1,2,2,2,2,2,2,2,98,2,2,98,1,1,1,1,3,2,1,2.0,3.0,2.0,3.0,2,1,18.0,1.0,1,2.0,2.0,10,1.0,4.0,6.0
50,2,2,1,2,1,1.0,2.0,2,2,2,2,2,2,3,2,2,2,3,2,3,2,2,3,2,2,2,1,1,1,3,3,1,1.0,2.0,3.0,2.8,2,2,26.0,1.0,2,2.0,2.0,11,2.0,2.0,6.0
129,2,1,1,1,1,1.0,1.0,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,4,3,1,1,2,1,1,1,1,1.0,99.0,3.0,3.0,2,1,26.0,1.0,2,3.0,2.0,6,3.0,2.0,5.0
44,3,3,1,1,1,2.0,2.0,1,1,1,1,2,1,1,1,2,2,2,4,2,1,2,98,1,1,1,1,1,1,3,1,1,1.0,1.0,1.0,3.75,3,1,17.0,1.0,2,1.0,1.0,1,3.0,1.0,4.0
96,2,2,1,2,1,1.0,97.0,1,1,1,1,1,2,2,2,3,3,3,2,2,3,2,3,2,2,2,2,2,2,1,3,1,3.0,3.0,4.0,2.6,2,3,17.0,1.0,2,2.0,1.0,8,2.0,2.0,6.0
195,3,1,1,1,1,1.0,1.0,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1.0,1.0,1.0,4.0,3,2,23.0,1.0,2,2.0,1.0,9,1.0,2.0,1.0
125,1,3,1,1,1,1.0,1.0,1,1,1,1,2,1,3,3,3,3,3,3,3,3,3,4,3,3,3,2,2,2,1,3,1,4.0,5.0,3.0,1.8,1,4,30.0,2.0,1,3.0,2.0,5,2.0,1.0,1.0
163,4,4,1,98,1,97.0,97.0,1,2,2,1,98,98,2,2,2,2,98,4,2,4,98,2,2,2,3,98,1,99,1,2,1,2.0,4.0,3.0,2.5,2,99,86.0,3.0,2,1.0,1.0,6,2.0,4.0,6.0
24,3,1,1,2,1,1.0,97.0,2,2,2,2,2,1,2,2,4,2,3,3,2,2,2,2,2,2,1,2,1,3,3,2,1,1.0,1.0,1.0,3.0,2,3,20.0,1.0,1,2.0,1.0,16,2.0,4.0,4.0
104,2,1,1,2,1,1.0,97.0,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,3,2,1,3.0,3.0,1.0,3.4,2,1,20.0,1.0,1,2.0,2.0,8,2.0,4.0,3.0
69,2,3,1,2,1,1.0,97.0,2,1,1,1,1,2,3,3,3,2,2,3,2,2,2,2,2,1,3,1,1,1,3,2,1,4.0,2.0,2.0,2.8,2,2,58.0,3.0,2,1.0,2.0,10,1.0,4.0,1.0
125,2,2,1,1,2,2.0,2.0,2,1,1,1,2,2,98,4,2,2,4,98,98,2,2,98,2,2,2,1,1,2,1,2,1,99.0,99.0,99.0,2.5,2,2,30.0,2.0,2,1.0,2.0,5,3.0,1.0,6.0
76,2,1,1,2,1,1.0,2.0,1,2,2,2,2,2,2,1,2,2,3,3,2,2,2,2,2,2,2,1,1,3,1,2,1,1.0,2.0,2.0,3.2,2,2,17.0,1.0,2,2.0,2.0,14,2.0,3.0,4.0
61,2,2,1,2,1,1.0,2.0,2,1,1,1,2,1,4,4,4,4,3,4,3,2,2,1,4,3,2,1,1,2,3,4,1,1.0,2.0,2.0,2.4,1,2,15.0,1.0,1,2.0,1.0,5,3.0,1.0,1.0
28,2,2,1,2,1,1.0,2.0,1,1,1,1,98,1,3,3,3,2,3,3,2,2,3,3,3,3,1,1,1,1,3,2,1,2.0,2.0,2.0,2.2,1,1,19.0,1.0,2,2.0,2.0,11,2.0,4.0,6.0
116,2,1,1,1,1,1.0,1.0,1,1,1,1,1,2,2,1,2,2,1,4,1,1,1,1,1,2,2,1,1,1,3,2,1,2.0,4.0,2.0,4.0,3,2,30.0,2.0,2,3.0,2.0,6,2.0,2.0,5.0
116,4,3,1,2,2,2.0,2.0,1,1,1,1,1,1,1,2,3,2,3,4,1,1,3,3,1,1,2,1,1,1,3,1,1,2.0,1.0,2.0,3.0,2,2,15.0,1.0,1,1.0,1.0,6,3.0,2.0,4.0
60,2,1,2,2,1,1.0,97.0,2,1,1,1,2,2,1,3,2,1,2,2,2,2,2,2,1,2,2,2,1,1,3,2,1,1.0,1.0,2.0,3.0,2,3,15.0,1.0,2,1.0,1.0,1,2.0,1.0,6.0
67,98,3,1,2,97,97.0,97.0,1,1,1,1,2,2,3,3,3,3,3,4,2,2,98,4,2,4,98,98,1,98,5,4,1,1.0,1.0,2.0,2.25,1,99,23.0,1.0,2,1.0,1.0,1,3.0,2.0,5.0
140,2,1,1,1,1,1.0,1.0,2,2,1,1,1,1,3,4,2,2,1,4,1,1,4,4,4,4,98,2,1,1,3,2,1,1.0,1.0,1.0,1.6,1,99,28.0,1.0,1,2.0,2.0,5,1.0,1.0,1.0
121,2,1,1,2,1,1.0,2.0,1,2,1,1,1,1,2,1,1,1,2,3,1,1,1,1,3,2,1,1,1,1,3,1,1,1.0,2.0,1.0,3.6,3,1,31.0,2.0,2,3.0,2.0,15,1.0,4.0,2.0
87,3,3,1,2,2,2.0,97.0,2,2,2,1,2,1,2,2,3,2,3,2,2,2,4,2,2,2,3,2,1,1,3,1,1,1.0,1.0,1.0,2.6,2,4,76.0,3.0,1,1.0,2.0,8,3.0,4.0,6.0
173,2,2,1,98,1,1.0,2.0,2,2,2,2,2,2,3,2,2,3,3,2,2,2,3,3,3,2,2,2,2,2,3,98,1,1.0,2.0,99.0,2.4,1,3,16.0,1.0,2,1.0,2.0,16,2.0,3.0,6.0
71,3,1,1,2,2,2.0,1.0,2,2,98,1,1,1,1,2,2,2,2,99,2,2,2,2,2,2,2,1,1,98,3,2,1,3.0,3.0,99.0,3.0,2,2,61.0,3.0,1,2.0,2.0,14,2.0,3.0,6.0
134,2,4,1,1,97,97.0,97.0,2,1,1,1,1,2,2,4,4,4,2,2,4,4,2,2,2,2,3,2,2,1,2,4,1,1.0,1.0,1.0,2.2,1,4,26.0,1.0,2,1.0,2.0,5,3.0,2.0,1.0
191,3,2,98,1,2,2.0,2.0,2,98,2,1,2,98,2,2,2,2,3,3,2,3,2,3,2,3,2,1,1,2,98,3,1,2.0,5.0,4.0,2.6,2,2,18.0,1.0,2,2.0,1.0,9,2.0,3.0,6.0
175,2,1,1,1,1,1.0,1.0,2,2,2,1,2,1,2,2,3,2,3,4,2,2,2,2,2,2,1,1,1,1,1,2,1,1.0,1.0,1.0,3.0,2,1,25.0,1.0,1,2.0,1.0,14,2.0,4.0,1.0
193,3,2,1,2,1,1.0,2.0,2,1,1,2,1,1,3,2,2,2,3,2,3,3,2,3,2,2,3,1,1,2,1,2,1,2.0,1.0,2.0,2.6,2,2,35.0,2.0,1,3.0,2.0,13,3.0,4.0,1.0
79,3,2,1,1,1,1.0,2.0,1,2,1,1,1,1,3,2,2,2,2,2,1,1,1,1,2,1,3,2,1,1,3,1,1,1.0,1.0,1.0,3.6,3,4,28.0,1.0,1,2.0,1.0,2,2.0,2.0,2.0
32,2,2,1,2,1,1.0,2.0,1,1,1,1,1,1,2,1,2,2,2,2,2,3,2,2,3,2,1,1,1,1,3,2,1,1.0,1.0,1.0,2.8,2,1,22.0,1.0,1,2.0,1.0,8,3.0,3.0,1.0
191,2,1,1,1,1,1.0,2.0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1.0,1.0,1.0,4.0,3,1,23.0,1.0,1,2.0,1.0,9,1.0,3.0,4.0
125,98,3,98,98,1,2.0,2.0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,98,4,98,98,2,1,1,2,1,1,1.0,4.0,1.0,2.5,2,99,28.0,1.0,1,1.0,2.0,5,1.0,1.0,6.0
48,4,4,98,1,1,1.0,97.0,2,1,1,1,1,1,3,2,3,1,2,2,2,3,3,3,2,3,3,2,1,1,3,1,1,2.0,1.0,1.0,2.4,1,4,22.0,1.0,2,2.0,2.0,11,3.0,2.0,1.0
184,3,1,1,2,1,1.0,2.0,2,2,2,2,1,1,1,2,2,1,1,2,98,2,1,2,2,2,2,98,1,2,3,1,1,1.0,2.0,2.0,3.2,2,99,67.0,3.0,1,2.0,1.0,17,2.0,4.0,6.0
116,2,2,2,2,1,2.0,97.0,2,2,1,1,1,1,2,3,2,1,2,2,2,2,2,2,2,2,1,1,2,1,3,1,1,1.0,1.0,1.0,2.8,2,1,17.0,1.0,2,1.0,1.0,6,3.0,2.0,1.0
53,2,2,1,2,2,1.0,1.0,1,1,1,1,1,1,2,2,3,2,2,3,98,2,2,2,2,2,2,1,1,98,1,2,1,2.0,2.0,2.0,3.0,2,2,25.0,1.0,2,3.0,2.0,11,3.0,2.0,2.0
186,4,4,1,98,2,2.0,2.0,2,2,1,1,2,2,1,2,1,1,98,98,2,2,1,2,2,2,1,1,1,1,3,1,1,1.0,1.0,1.0,3.2,2,1,21.0,1.0,2,1.0,1.0,5,3.0,1.0,1.0
119,1,1,1,2,1,97.0,97.0,1,1,1,98,1,1,2,1,2,1,1,3,1,1,2,2,2,1,2,98,98,2,3,2,1,1.0,3.0,3.0,3.4,2,99,16.0,1.0,2,1.0,1.0,15,2.0,4.0,3.0
175,2,1,1,2,2,1.0,97.0,2,2,2,2,1,1,2,2,2,2,2,4,2,2,2,2,3,3,1,1,1,2,3,2,1,1.0,1.0,1.0,2.8,2,1,18.0,1.0,1,1.0,1.0,14,2.0,4.0,6.0
52,2,2,1,98,1,1.0,97.0,2,2,1,1,98,98,3,98,3,98,98,98,2,98,98,2,98,98,98,2,98,1,3,2,1,2.0,99.0,2.0,0.0,99,99,18.0,1.0,1,2.0,1.0,11,2.0,2.0,6.0
103,4,4,98,98,2,97.0,97.0,2,2,2,2,98,98,3,98,98,98,98,4,98,99,98,98,98,98,98,2,98,98,5,4,1,2.0,99.0,99.0,0.0,99,99,17.0,1.0,2,1.0,1.0,2,3.0,1.0,6.0
82,2,1,1,2,1,1.0,2.0,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,4,2,2,1,1,1,3,2,1,1.0,1.0,1.0,3.0,2,2,22.0,1.0,1,2.0,1.0,6,2.0,3.0,1.0
24,2,2,1,2,2,1.0,1.0,1,1,1,1,2,1,2,2,3,2,3,4,2,3,2,2,2,3,1,1,1,1,3,2,1,1.0,1.0,2.0,2.8,2,1,21.0,1.0,1,2.0,2.0,16,3.0,4.0,6.0
108,4,4,2,2,1,97.0,97.0,2,2,1,1,2,2,4,4,4,3,98,4,4,4,4,3,3,2,3,1,1,2,5,4,1,1.0,1.0,1.0,1.4,1,2,15.0,1.0,2,2.0,1.0,2,,2.0,6.0
77,2,1,1,98,1,1.0,1.0,2,2,1,1,2,98,2,2,2,2,3,3,2,2,2,98,2,98,1,98,1,1,98,3,1,1.0,2.0,2.0,3.0,2,99,21.0,1.0,1,3.0,2.0,14,2.0,2.0,6.0
18,3,1,1,2,2,2.0,2.0,2,2,2,1,1,1,1,2,2,1,2,3,1,1,2,2,2,2,2,1,1,2,3,1,1,1.0,1.0,1.0,3.2,2,2,28.0,1.0,1,3.0,2.0,16,3.0,4.0,3.0
28,2,2,1,2,1,1.0,2.0,1,2,1,1,2,1,1,2,3,2,3,4,2,2,98,98,98,98,2,1,1,2,3,2,1,2.0,3.0,3.0,0.0,99,2,16.0,1.0,1,2.0,2.0,11,1.0,4.0,6.0
116,3,1,1,2,1,1.0,1.0,2,2,2,2,2,2,4,4,4,4,4,4,3,3,4,4,4,4,3,1,2,2,3,3,1,1.0,2.0,1.0,1.2,1,2,22.0,1.0,2,3.0,1.0,6,2.0,2.0,1.0
158,4,3,1,1,1,1.0,2.0,2,2,2,1,1,1,4,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1.0,1.0,1.0,3.0,2,2,25.0,1.0,1,2.0,1.0,6,2.0,2.0,2.0
89,1,1,1,1,1,1.0,1.0,1,1,1,1,2,1,1,1,3,1,98,2,1,1,1,98,1,98,1,1,1,3,3,1,1,1.0,1.0,1.0,4.0,3,1,35.0,2.0,2,3.0,2.0,17,1.0,4.0,1.0
37,3,3,1,2,2,2.0,2.0,2,2,1,1,1,1,2,1,1,1,4,2,2,1,1,1,1,1,1,2,1,1,3,1,1,1.0,1.0,1.0,4.0,3,3,16.0,1.0,1,1.0,1.0,1,3.0,1.0,2.0
31,1,1,1,2,97,97.0,97.0,1,1,1,1,1,1,1,1,2,1,3,4,1,1,2,2,2,2,1,1,1,1,3,1,1,1.0,1.0,1.0,3.4,2,1,26.0,1.0,1,3.0,1.0,12,2.0,2.0,3.0
115,2,2,1,1,1,1.0,1.0,1,1,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,3,2,1,1,3,4,1,1.0,1.0,1.0,3.2,2,4,20.0,1.0,1,2.0,1.0,8,2.0,3.0,5.0
79,3,3,1,2,1,1.0,2.0,2,2,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,3,2,1,1.0,4.0,1.0,2.8,2,1,18.0,1.0,2,1.0,1.0,2,3.0,2.0,5.0
41,2,2,1,1,1,1.0,1.0,1,1,1,1,1,1,4,2,2,2,2,3,3,1,2,1,3,2,2,1,1,3,3,4,1,1.0,1.0,5.0,3.2,2,2,21.0,1.0,2,2.0,1.0,1,1.0,1.0,2.0
34,3,2,1,2,1,1.0,2.0,2,2,2,2,2,2,2,3,4,2,3,4,2,2,2,3,2,2,2,1,1,2,3,2,1,2.0,2.0,1.0,2.6,2,2,25.0,1.0,1,2.0,2.0,6,2.0,3.0,2.0
17,2,1,1,2,2,1.0,2.0,2,2,2,2,1,1,2,2,3,2,2,98,2,1,3,3,1,2,2,1,1,1,3,2,1,2.0,1.0,1.0,3.0,2,2,22.0,1.0,1,2.0,1.0,16,2.0,4.0,5.0
99,2,1,1,98,1,1.0,1.0,1,1,1,1,98,2,2,1,2,2,2,3,98,2,98,3,98,98,1,1,1,1,1,2,1,99.0,99.0,99.0,3.0,2,1,64.0,3.0,2,3.0,2.0,14,2.0,3.0,6.0
166,2,2,1,1,2,1.0,97.0,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1.0,2.0,2.0,4.0,3,1,64.0,3.0,1,2.0,1.0,16,1.0,4.0,6.0
153,2,2,1,2,1,1.0,2.0,1,1,1,1,1,1,2,3,4,3,2,2,2,2,1,1,2,2,3,1,1,1,3,2,1,1.0,1.0,1.0,3.2,2,2,16.0,1.0,2,1.0,2.0,10,2.0,2.0,1.0
134,2,1,1,2,1,1.0,1.0,1,1,1,1,1,1,3,4,2,4,3,2,4,2,2,3,2,4,1,1,1,1,3,1,1,2.0,2.0,2.0,2.4,1,1,24.0,1.0,1,2.0,2.0,5,3.0,2.0,3.0
145,4,4,2,2,1,1.0,2.0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,2,98,3,98,2,1,3.0,3.0,4.0,1.0,1,4,55.0,3.0,1,2.0,1.0,16,1.0,3.0,3.0
36,2,3,1,2,1,1.0,1.0,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,1,1,1,3,1,1,1.0,1.0,1.0,2.8,2,2,25.0,1.0,2,2.0,1.0,1,3.0,2.0,1.0
191,2,1,1,1,1,1.0,2.0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,1,1,1.0,1.0,1.0,3.8,3,1,19.0,1.0,2,2.0,1.0,9,3.0,3.0,6.0
143,2,1,1,2,1,1.0,1.0,1,1,98,98,2,1,98,2,3,1,3,4,1,1,2,2,2,2,1,1,1,3,3,2,1,3.0,3.0,3.0,3.2,2,1,22.0,1.0,2,2.0,2.0,15,2.0,4.0,4.0
116,2,2,1,1,1,1.0,1.0,2,2,1,1,2,2,4,4,4,4,4,4,2,2,3,3,2,3,2,1,2,1,97,4,1,1.0,1.0,1.0,2.2,1,2,18.0,1.0,2,3.0,2.0,6,3.0,2.0,6.0
191,2,2,1,2,1,1.0,2.0,2,2,2,2,1,1,1,3,4,2,2,3,2,2,2,2,1,2,98,1,1,2,3,1,1,1.0,1.0,1.0,3.0,2,99,23.0,1.0,1,2.0,2.0,9,1.0,3.0,1.0
12,3,3,1,2,1,1.0,2.0,1,1,1,1,1,1,1,2,3,1,2,4,1,2,2,2,2,2,1,1,1,1,3,1,1,2.0,1.0,1.0,3.0,2,1,31.0,2.0,2,3.0,2.0,15,1.0,4.0,1.0
14,3,2,1,2,2,1.0,1.0,1,1,2,2,98,2,1,1,2,1,98,2,4,3,1,2,2,4,99,99,99,2,3,1,1,1.0,1.0,1.0,3.2,2,99,33.0,2.0,1,2.0,2.0,17,1.0,4.0,1.0
197,2,1,1,2,1,97.0,97.0,2,1,1,1,2,2,1,4,2,4,2,4,2,2,2,3,3,2,2,2,1,1,1,2,1,1.0,1.0,1.0,2.2,1,3,26.0,1.0,1,1.0,2.0,13,2.0,1.0,5.0
134,4,3,1,98,1,1.0,2.0,2,1,2,1,2,2,98,98,98,98,98,98,1,1,3,98,98,98,98,1,1,98,4,98,1,2.0,99.0,2.0,0.0,99,99,28.0,1.0,2,2.0,2.0,5,2.0,2.0,1.0
35,1,1,1,2,1,1.0,1.0,1,2,1,1,1,2,3,2,2,2,3,2,2,3,2,2,2,2,1,1,1,2,3,2,1,1.0,2.0,2.0,2.8,2,1,30.0,2.0,1,3.0,1.0,5,3.0,2.0,6.0
47,2,1,1,2,1,1.0,2.0,1,1,1,1,1,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,1,2,3,2,1,3.0,4.0,3.0,3.0,2,3,35.0,2.0,1,2.0,2.0,18,2.0,4.0,4.0
87,2,2,1,2,1,1.0,97.0,2,2,2,1,1,1,2,2,4,2,1,4,2,1,2,2,4,4,3,1,1,1,3,2,1,1.0,1.0,1.0,2.8,2,2,27.0,1.0,1,2.0,2.0,8,2.0,4.0,1.0
129,3,3,1,1,2,2.0,2.0,1,2,1,1,1,1,2,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1.0,1.0,1.0,3.8,3,1,18.0,1.0,1,1.0,1.0,6,3.0,2.0,6.0
134,2,2,1,2,1,1.0,2.0,1,2,1,2,2,2,4,2,3,2,3,2,3,3,98,98,98,98,3,1,2,3,3,3,1,3.0,3.0,4.0,0.0,99,2,20.0,1.0,1,2.0,2.0,5,2.0,2.0,6.0
46,1,1,1,2,1,1.0,1.0,1,2,1,1,1,1,2,2,99,2,2,3,2,2,2,2,2,2,1,1,1,2,3,2,1,1.0,1.0,2.0,3.0,2,1,30.0,2.0,1,2.0,1.0,7,1.0,4.0,1.0
198,3,2,1,2,1,1.0,97.0,1,1,1,1,1,1,4,4,2,2,1,3,2,1,3,2,2,2,2,2,1,1,2,3,1,1.0,1.0,4.0,2.6,2,3,17.0,1.0,1,1.0,1.0,0,2.0,2.0,6.0
166,3,1,1,1,1,1.0,97.0,1,1,1,1,1,1,2,1,3,2,2,3,1,1,1,2,98,2,2,2,1,1,3,1,1,1.0,3.0,3.0,3.75,3,3,28.0,1.0,2,2.0,1.0,16,2.0,4.0,1.0
69,3,2,1,2,1,1.0,2.0,1,1,1,98,2,1,1,2,4,2,3,98,2,2,2,3,2,2,2,1,1,3,1,2,1,1.0,2.0,2.0,2.8,2,2,30.0,2.0,1,3.0,2.0,10,2.0,4.0,2.0
15,2,2,1,1,2,2.0,2.0,1,2,2,1,2,1,2,2,2,1,3,1,2,2,1,3,1,3,2,2,1,2,3,2,1,1.0,3.0,4.0,3.2,2,3,18.0,1.0,2,2.0,2.0,17,2.0,4.0,6.0
5,3,4,1,2,1,97.0,97.0,2,2,2,2,1,1,2,1,2,2,2,2,1,3,3,1,2,2,2,1,1,1,3,1,1,1.0,1.0,1.0,3.0,2,2,46.0,2.0,1,1.0,2.0,13,1.0,4.0,6.0
104,2,1,1,1,1,1.0,97.0,1,1,1,1,1,1,2,2,2,2,1,3,2,2,2,2,2,2,2,2,1,1,3,2,1,1.0,1.0,1.0,3.0,2,3,20.0,1.0,2,2.0,2.0,8,2.0,4.0,6.0
132,2,2,1,2,1,1.0,1.0,2,1,1,1,2,1,1,1,2,1,3,2,2,2,2,2,2,2,2,1,1,1,3,2,1,2.0,2.0,2.0,3.2,2,2,52.0,3.0,2,3.0,1.0,15,2.0,4.0,2.0
61,2,2,1,2,97,97.0,97.0,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,3,2,1,1.0,1.0,1.0,3.2,2,1,27.0,1.0,1,1.0,1.0,5,2.0,1.0,6.0
116,2,1,1,2,1,1.0,1.0,1,1,1,1,1,1,3,2,2,2,2,2,1,1,2,2,2,2,3,2,1,1,3,1,1,1.0,3.0,1.0,3.2,2,4,23.0,1.0,2,3.0,2.0,6,1.0,2.0,6.0
34,2,1,2,1,1,1.0,1.0,2,1,1,1,2,1,2,2,2,1,3,4,2,2,2,2,2,3,2,1,1,1,3,1,1,1.0,1.0,1.0,3.0,2,2,47.0,2.0,2,3.0,2.0,6,2.0,3.0,1.0
158,2,2,1,1,1,1.0,1.0,1,1,1,1,1,1,2,2,4,2,2,4,2,1,1,1,1,1,2,1,1,1,3,1,1,1.0,1.0,1.0,3.8,3,2,19.0,1.0,1,,1.0,6,3.0,2.0,2.0
128,2,2,1,1,1,1.0,1.0,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,3,2,1,4.0,2.0,2.0,3.0,2,3,31.0,2.0,1,2.0,1.0,6,3.0,1.0,6.0
150,3,2,1,2,1,1.0,97.0,2,2,1,1,2,2,3,3,4,4,3,3,2,3,2,3,2,2,1,1,1,2,1,3,1,1.0,1.0,1.0,2.4,1,1,17.0,1.0,2,2.0,1.0,1,3.0,3.0,6.0
