CTRY,SC_KNOWL,UND_SCSCI,SC_DZ,SC_POET,SC_PS,SC_SS,SC_UNI,SCINFO_30D,MDHINFO_30D,SC_INT,MDH_INT,CONF_NGO,CONF_HOSP,TRU_NEIGHB,TRU_SCI,TRU_JO,TRU_HCW,TRU_NGOPPL,TRU_TH,TRU_SC,TRUSCI_ACCINFO,TRUSCIUNI_BEN,TRUSCIUNI_HON,TRUSCICOM_BEN,TRUSCICOM_HON,SCI_BENPPL,SCI_BENRESP,SCTECH_IMPRLIFE,SCTECH_JOBS,TRU_PPLADV,TRU_HCWADV,HRD_VAC,VAC_IMPTCH,VAC_SF,VAC_EFF,VAC_IDX,VAC_LVL,TRUSCI_IDX,TRUSCI_LVL,VW_SC,AGE,AGE_CAT,GEN,EDU,LIV_AR,RGN,SUBJ_HHI,CTRY_INC,EMP_STAT
41,2,2,1,2,1,1,2,1,1,1,1,2,1,2,4,1,2,3,2,4,1,3,2,4,4,2,1,1,1,3,1,1,5,2,3,3.3333333333333335,Medium,2.2,1,2,17,1,1,2,1,1,1,1,1
62,2,2,1,2,1,1,2,2,2,1,1,1,2,2,3,3,2,2,3,2,3,3,3,2,2,3,1,1,1,3,3,1,5,4,5,4.666666666666667,High,2.2,1,2,16,1,1,2,1,5,3,2,6
68,1,1,1,2,1,1,1,1,1,1,1,2,1,3,2,4,2,3,4,1,1,3,3,4,3,3,1,1,1,3,1,1,5,4,5,4.666666666666667,High,2.4,1,2,31,2,1,3,2,10,1,4,1
12,4,3,1,2,1,1,2,2,2,2,2,2,1,4,3,4,3,2,98,3,1,1,3,2,3,2,1,1,2,3,1,1,3,3,3,3.0,Medium,3.0,2,2,33,2,1,2,2,15,2,4,6
53,3,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,3,1,1,5,5,5,5.0,High,3.6,3,1,21,1,1,3,2,11,2,2,2
14,2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,3,2,3,1,2,2,2,2,2,2,2,1,1,98,3,2,1,4,5,4,4.333333333333333,High,3.0,2,2,70,3,1,2,2,17,2,4,6
115,2,2,1,98,1,1,2,1,1,1,1,98,1,3,98,3,1,98,4,3,4,98,98,98,98,2,98,1,98,3,2,1,3,3,5,3.6666666666666665,High,0.0,99,99,42,2,1,3,1,8,2,3,1
163,2,2,1,2,1,1,97,2,2,1,1,1,1,2,2,3,1,98,4,2,1,2,1,2,1,2,1,98,3,1,2,1,5,5,3,4.333333333333333,High,3.4,2,2,17,1,1,1,1,6,2,4,6
48,3,3,1,1,1,97,97,2,2,1,1,2,1,1,1,1,1,2,2,1,3,1,3,2,2,2,2,1,1,1,3,1,4,2,4,3.3333333333333335,Medium,3.0,2,3,32,2,1,1,1,11,3,2,1
28,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,3,1,1,2,1,2,2,1,1,1,1,3,1,1,5,5,4,4.666666666666667,High,3.6,3,1,49,2,1,2,2,11,1,4,1
