Table_Ref,CollectionYearRange,Parent_Org_ONS_Code,Parent_Org_Name,Org_ONS_Code,Org_Name,Child_Age,Unit,Indicator,Value,Data_Status
11b,2018-19,E12000001,North East,E06000001,Hartlepool,12m,Number,HepB_Number_Eligible,0,Full Data
11b,2018-19,E12000001,North East,E06000001,Hartlepool,12m,Number,HepB_Number_Vaccinated,0,Full Data
11b,2018-19,E12000001,North East,E06000001,Hartlepool,12m,%,HepB_Percent_Vaccinated,0,Full Data
11b,2018-19,E12000001,North East,E06000002,Middlesbrough,12m,Number,HepB_Number_Eligible,5,Full Data
11b,2018-19,E12000001,North East,E06000002,Middlesbrough,12m,Number,HepB_Number_Vaccinated,5,Full Data
11b,2018-19,E12000001,North East,E06000002,Middlesbrough,12m,%,HepB_Percent_Vaccinated,100,Full Data
11b,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,12m,Number,HepB_Number_Eligible,-2,Full Data
11b,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,12m,Number,HepB_Number_Vaccinated,-2,Full Data
11b,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,12m,%,HepB_Percent_Vaccinated,-2,Full Data
11b,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,12m,Number,HepB_Number_Eligible,3,Full Data
11b,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,12m,Number,HepB_Number_Vaccinated,3,Full Data
11b,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,12m,%,HepB_Percent_Vaccinated,100,Full Data
11b,2018-19,E12000001,North East,E06000005,Darlington,12m,Number,HepB_Number_Eligible,-2,Full Data
11b,2018-19,E12000001,North East,E06000005,Darlington,12m,Number,HepB_Number_Vaccinated,-2,Full Data
11b,2018-19,E12000001,North East,E06000005,Darlington,12m,%,HepB_Percent_Vaccinated,-2,Full Data
11b,2018-19,E12000001,North East,E06000047,County Durham,12m,Number,HepB_Number_Eligible,-2,Full Data
11b,2018-19,E12000001,North East,E06000047,County Durham,12m,Number,HepB_Number_Vaccinated,-2,Full Data
11b,2018-19,E12000001,North East,E06000047,County Durham,12m,%,HepB_Percent_Vaccinated,-2,Full Data
11b,2018-19,E12000001,North East,E06000057,Northumberland,12m,Number,HepB_Number_Eligible,-2,Full Data
11b,2018-19,E12000001,North East,E06000057,Northumberland,12m,Number,HepB_Number_Vaccinated,-2,Full Data
11b,2018-19,E12000001,North East,E06000057,Northumberland,12m,%,HepB_Percent_Vaccinated,-2,Full Data
11b,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,12m,Number,HepB_Number_Eligible,9,Full Data
11b,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,12m,Number,HepB_Number_Vaccinated,9,Full Data
11b,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,12m,%,HepB_Percent_Vaccinated,100,Full Data
11b,2018-19,E12000001,North East,E08000022,North Tyneside,12m,Number,HepB_Number_Eligible,-2,Full Data
11b,2018-19,E12000001,North East,E08000022,North Tyneside,12m,Number,HepB_Number_Vaccinated,-2,Full Data
11b,2018-19,E12000001,North East,E08000022,North Tyneside,12m,%,HepB_Percent_Vaccinated,-2,Full Data
11b,2018-19,E12000001,North East,E08000023,South Tyneside,12m,Number,HepB_Number_Eligible,-2,Full Data
11b,2018-19,E12000001,North East,E08000023,South Tyneside,12m,Number,HepB_Number_Vaccinated,-2,Full Data
11b,2018-19,E12000001,North East,E08000023,South Tyneside,12m,%,HepB_Percent_Vaccinated,-2,Full Data
11b,2018-19,E12000001,North East,E08000024,Sunderland,12m,Number,HepB_Number_Eligible,3,Full Data
11b,2018-19,E12000001,North East,E08000024,Sunderland,12m,Number,HepB_Number_Vaccinated,2,Full Data
11b,2018-19,E12000001,North East,E08000024,Sunderland,12m,%,HepB_Percent_Vaccinated,66.6666666666666,Full Data
11b,2018-19,E12000001,North East,E08000037,Gateshead,12m,Number,HepB_Number_Eligible,-2,Full Data
11b,2018-19,E12000001,North East,E08000037,Gateshead,12m,Number,HepB_Number_Vaccinated,-2,Full Data
11b,2018-19,E12000001,North East,E08000037,Gateshead,12m,%,HepB_Percent_Vaccinated,-2,Full Data
11b,2018-19,E12000002,North West,E06000006,Halton,12m,Number,HepB_Number_Eligible,0,Full Data
11b,2018-19,E12000002,North West,E06000006,Halton,12m,Number,HepB_Number_Vaccinated,0,Full Data
11b,2018-19,E12000002,North West,E06000006,Halton,12m,%,HepB_Percent_Vaccinated,0,Full Data
11b,2018-19,E12000002,North West,E06000007,Warrington,12m,Number,HepB_Number_Eligible,3,Full Data
11b,2018-19,E12000002,North West,E06000007,Warrington,12m,Number,HepB_Number_Vaccinated,2,Full Data
11b,2018-19,E12000002,North West,E06000007,Warrington,12m,%,HepB_Percent_Vaccinated,66.6666666666666,Full Data
11b,2018-19,E12000002,North West,E06000008,Blackburn with Darwen,12m,Number,HepB_Number_Eligible,-1,Missing Data
11b,2018-19,E12000002,North West,E06000008,Blackburn with Darwen,12m,Number,HepB_Number_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E06000008,Blackburn with Darwen,12m,%,HepB_Percent_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E06000009,Blackpool,12m,Number,HepB_Number_Eligible,-1,Missing Data
11b,2018-19,E12000002,North West,E06000009,Blackpool,12m,Number,HepB_Number_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E06000009,Blackpool,12m,%,HepB_Percent_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E06000049,Cheshire East,12m,Number,HepB_Number_Eligible,-1,Missing Data
11b,2018-19,E12000002,North West,E06000049,Cheshire East,12m,Number,HepB_Number_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E06000049,Cheshire East,12m,%,HepB_Percent_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E06000050,Cheshire West and Chester,12m,Number,HepB_Number_Eligible,-1,Missing Data
11b,2018-19,E12000002,North West,E06000050,Cheshire West and Chester,12m,Number,HepB_Number_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E06000050,Cheshire West and Chester,12m,%,HepB_Percent_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E08000001,Bolton,12m,Number,HepB_Number_Eligible,19,Full Data
11b,2018-19,E12000002,North West,E08000001,Bolton,12m,Number,HepB_Number_Vaccinated,9,Full Data
11b,2018-19,E12000002,North West,E08000001,Bolton,12m,%,HepB_Percent_Vaccinated,47.3684210526315,Full Data
11b,2018-19,E12000002,North West,E08000002,Bury,12m,Number,HepB_Number_Eligible,52,Full Data
11b,2018-19,E12000002,North West,E08000002,Bury,12m,Number,HepB_Number_Vaccinated,8,Full Data
11b,2018-19,E12000002,North West,E08000002,Bury,12m,%,HepB_Percent_Vaccinated,15.3846153846153,Full Data
11b,2018-19,E12000002,North West,E08000003,Manchester,12m,Number,HepB_Number_Eligible,59,Full Data
11b,2018-19,E12000002,North West,E08000003,Manchester,12m,Number,HepB_Number_Vaccinated,19,Full Data
11b,2018-19,E12000002,North West,E08000003,Manchester,12m,%,HepB_Percent_Vaccinated,32.2033898305084,Full Data
11b,2018-19,E12000002,North West,E08000004,Oldham,12m,Number,HepB_Number_Eligible,129,Full Data
11b,2018-19,E12000002,North West,E08000004,Oldham,12m,Number,HepB_Number_Vaccinated,22,Full Data
11b,2018-19,E12000002,North West,E08000004,Oldham,12m,%,HepB_Percent_Vaccinated,17.0542635658914,Full Data
11b,2018-19,E12000002,North West,E08000005,Rochdale,12m,Number,HepB_Number_Eligible,92,Full Data
11b,2018-19,E12000002,North West,E08000005,Rochdale,12m,Number,HepB_Number_Vaccinated,25,Full Data
11b,2018-19,E12000002,North West,E08000005,Rochdale,12m,%,HepB_Percent_Vaccinated,27.1739130434782,Full Data
11b,2018-19,E12000002,North West,E08000006,Salford,12m,Number,HepB_Number_Eligible,-1,Missing Data
11b,2018-19,E12000002,North West,E08000006,Salford,12m,Number,HepB_Number_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E08000006,Salford,12m,%,HepB_Percent_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E08000007,Stockport,12m,Number,HepB_Number_Eligible,11,Full Data
11b,2018-19,E12000002,North West,E08000007,Stockport,12m,Number,HepB_Number_Vaccinated,4,Full Data
11b,2018-19,E12000002,North West,E08000007,Stockport,12m,%,HepB_Percent_Vaccinated,36.3636363636363,Full Data
11b,2018-19,E12000002,North West,E08000008,Tameside,12m,Number,HepB_Number_Eligible,14,Full Data
11b,2018-19,E12000002,North West,E08000008,Tameside,12m,Number,HepB_Number_Vaccinated,6,Full Data
11b,2018-19,E12000002,North West,E08000008,Tameside,12m,%,HepB_Percent_Vaccinated,42.8571428571428,Full Data
11b,2018-19,E12000002,North West,E08000009,Trafford,12m,Number,HepB_Number_Eligible,68,Full Data
11b,2018-19,E12000002,North West,E08000009,Trafford,12m,Number,HepB_Number_Vaccinated,16,Full Data
11b,2018-19,E12000002,North West,E08000009,Trafford,12m,%,HepB_Percent_Vaccinated,23.5294117647058,Full Data
11b,2018-19,E12000002,North West,E08000010,Wigan,12m,Number,HepB_Number_Eligible,5,Full Data
11b,2018-19,E12000002,North West,E08000010,Wigan,12m,Number,HepB_Number_Vaccinated,4,Full Data
11b,2018-19,E12000002,North West,E08000010,Wigan,12m,%,HepB_Percent_Vaccinated,80,Full Data
11b,2018-19,E12000002,North West,E08000011,Knowsley,12m,Number,HepB_Number_Eligible,-1,Missing Data
11b,2018-19,E12000002,North West,E08000011,Knowsley,12m,Number,HepB_Number_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E08000011,Knowsley,12m,%,HepB_Percent_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E08000012,Liverpool,12m,Number,HepB_Number_Eligible,11,Full Data
11b,2018-19,E12000002,North West,E08000012,Liverpool,12m,Number,HepB_Number_Vaccinated,7,Full Data
11b,2018-19,E12000002,North West,E08000012,Liverpool,12m,%,HepB_Percent_Vaccinated,63.6363636363636,Full Data
11b,2018-19,E12000002,North West,E08000013,St Helens,12m,Number,HepB_Number_Eligible,0,Full Data
11b,2018-19,E12000002,North West,E08000013,St Helens,12m,Number,HepB_Number_Vaccinated,0,Full Data
11b,2018-19,E12000002,North West,E08000013,St Helens,12m,%,HepB_Percent_Vaccinated,0,Full Data
11b,2018-19,E12000002,North West,E08000014,Sefton,12m,Number,HepB_Number_Eligible,4,Full Data
11b,2018-19,E12000002,North West,E08000014,Sefton,12m,Number,HepB_Number_Vaccinated,3,Full Data
11b,2018-19,E12000002,North West,E08000014,Sefton,12m,%,HepB_Percent_Vaccinated,75,Full Data
11b,2018-19,E12000002,North West,E08000015,Wirral,12m,Number,HepB_Number_Eligible,5,Full Data
11b,2018-19,E12000002,North West,E08000015,Wirral,12m,Number,HepB_Number_Vaccinated,4,Full Data
11b,2018-19,E12000002,North West,E08000015,Wirral,12m,%,HepB_Percent_Vaccinated,80,Full Data
11b,2018-19,E12000002,North West,E10000006,Cumbria,12m,Number,HepB_Number_Eligible,-1,Missing Data
11b,2018-19,E12000002,North West,E10000006,Cumbria,12m,Number,HepB_Number_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E10000006,Cumbria,12m,%,HepB_Percent_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E10000017,Lancashire,12m,Number,HepB_Number_Eligible,-1,Missing Data
11b,2018-19,E12000002,North West,E10000017,Lancashire,12m,Number,HepB_Number_Vaccinated,-1,Missing Data
11b,2018-19,E12000002,North West,E10000017,Lancashire,12m,%,HepB_Percent_Vaccinated,-1,Missing Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000010,Kingston upon Hull,12m,Number,HepB_Number_Eligible,4,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000010,Kingston upon Hull,12m,Number,HepB_Number_Vaccinated,-2,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000010,Kingston upon Hull,12m,%,HepB_Percent_Vaccinated,-2.00000000000000,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,12m,Number,HepB_Number_Eligible,0,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,12m,Number,HepB_Number_Vaccinated,0,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,12m,%,HepB_Percent_Vaccinated,0,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,12m,Number,HepB_Number_Eligible,4,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,12m,Number,HepB_Number_Vaccinated,4,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,12m,%,HepB_Percent_Vaccinated,100,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,12m,Number,HepB_Number_Eligible,-2,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,12m,Number,HepB_Number_Vaccinated,-2,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,12m,%,HepB_Percent_Vaccinated,-2,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000014,York,12m,Number,HepB_Number_Eligible,-2,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000014,York,12m,Number,HepB_Number_Vaccinated,-2,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E06000014,York,12m,%,HepB_Percent_Vaccinated,-2,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000016,Barnsley,12m,Number,HepB_Number_Eligible,11,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000016,Barnsley,12m,Number,HepB_Number_Vaccinated,11,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000016,Barnsley,12m,%,HepB_Percent_Vaccinated,100,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000017,Doncaster,12m,Number,HepB_Number_Eligible,4,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000017,Doncaster,12m,Number,HepB_Number_Vaccinated,2,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000017,Doncaster,12m,%,HepB_Percent_Vaccinated,50,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000018,Rotherham,12m,Number,HepB_Number_Eligible,4,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000018,Rotherham,12m,Number,HepB_Number_Vaccinated,4,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000018,Rotherham,12m,%,HepB_Percent_Vaccinated,100,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000019,Sheffield,12m,Number,HepB_Number_Eligible,16,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000019,Sheffield,12m,Number,HepB_Number_Vaccinated,16,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000019,Sheffield,12m,%,HepB_Percent_Vaccinated,100,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000032,Bradford,12m,Number,HepB_Number_Eligible,23,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000032,Bradford,12m,Number,HepB_Number_Vaccinated,23,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000032,Bradford,12m,%,HepB_Percent_Vaccinated,100,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000033,Calderdale,12m,Number,HepB_Number_Eligible,-2,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000033,Calderdale,12m,Number,HepB_Number_Vaccinated,-2,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000033,Calderdale,12m,%,HepB_Percent_Vaccinated,-2,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000034,Kirklees,12m,Number,HepB_Number_Eligible,10,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000034,Kirklees,12m,Number,HepB_Number_Vaccinated,7,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000034,Kirklees,12m,%,HepB_Percent_Vaccinated,70,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000035,Leeds,12m,Number,HepB_Number_Eligible,63,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000035,Leeds,12m,Number,HepB_Number_Vaccinated,60,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000035,Leeds,12m,%,HepB_Percent_Vaccinated,95.2380952380952,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000036,Wakefield,12m,Number,HepB_Number_Eligible,5,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000036,Wakefield,12m,Number,HepB_Number_Vaccinated,4,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E08000036,Wakefield,12m,%,HepB_Percent_Vaccinated,80,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E10000023,North Yorkshire,12m,Number,HepB_Number_Eligible,7,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E10000023,North Yorkshire,12m,Number,HepB_Number_Vaccinated,5,Full Data
11b,2018-19,E12000003,Yorkshire and the Humber,E10000023,North Yorkshire,12m,%,HepB_Percent_Vaccinated,71.4285714285714,Full Data
11b,2018-19,E12000004,East Midlands,E06000015,Derby,12m,Number,HepB_Number_Eligible,15,Full Data
11b,2018-19,E12000004,East Midlands,E06000015,Derby,12m,Number,HepB_Number_Vaccinated,15,Full Data
