Table_Ref,CollectionYearRange,Parent_Org_ONS_Code,Parent_Org_Name,Org_ONS_Code,Org_Name,Child_Age,Unit,Indicator,Value,Data_Status
11c,2018-19,E12000001,North East,E06000001,Hartlepool,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000001,North East,E06000001,Hartlepool,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E06000001,Hartlepool,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E06000002,Middlesbrough,24m,Number,HepB_Number_Eligible,6,Full Data
11c,2018-19,E12000001,North East,E06000002,Middlesbrough,24m,Number,HepB_Number_Vaccinated,6,Full Data
11c,2018-19,E12000001,North East,E06000002,Middlesbrough,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E06000005,Darlington,24m,Number,HepB_Number_Eligible,0,Full Data
11c,2018-19,E12000001,North East,E06000005,Darlington,24m,Number,HepB_Number_Vaccinated,0,Full Data
11c,2018-19,E12000001,North East,E06000005,Darlington,24m,%,HepB_Percent_Vaccinated,0,Full Data
11c,2018-19,E12000001,North East,E06000047,County Durham,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000001,North East,E06000047,County Durham,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E06000047,County Durham,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E06000057,Northumberland,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000001,North East,E06000057,Northumberland,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E06000057,Northumberland,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,24m,Number,HepB_Number_Eligible,17,Full Data
11c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,24m,Number,HepB_Number_Vaccinated,17,Full Data
11c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000001,North East,E08000022,North Tyneside,24m,Number,HepB_Number_Eligible,0,Full Data
11c,2018-19,E12000001,North East,E08000022,North Tyneside,24m,Number,HepB_Number_Vaccinated,0,Full Data
11c,2018-19,E12000001,North East,E08000022,North Tyneside,24m,%,HepB_Percent_Vaccinated,0,Full Data
11c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,HepB_Number_Vaccinated,-2,Full Data
