Table_Ref,CollectionYearRange,Parent_Org_Name,Parent_Org_ONS_Code,Org_Name,Org_ONS_Code,Child_Age_RiskGroup,Unit,Indicator,Value
13a_13b,2018-19,England,ENG,England,ENG,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),56.86419448893270
13a_13b,2018-19,England,ENG,England,ENG,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),45.51244352229550
13a_13b,2018-19,England,ENG,England,ENG,All 3 year olds,%,Influenza (seasonal flu),45.93001123880650
13a_13b,2018-19,North East,E12000001,North East,E12000001,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),54.76190476190480
13a_13b,2018-19,North East,E12000001,North East,E12000001,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),46.22094058172240
13a_13b,2018-19,North East,E12000001,North East,E12000001,All 3 year olds,%,Influenza (seasonal flu),46.54055721188440
13a_13b,2018-19,North East,E12000001,County Durham,E06000047,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),53.03643724696360
13a_13b,2018-19,North East,E12000001,County Durham,E06000047,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),47.12385235150830
13a_13b,2018-19,North East,E12000001,County Durham,E06000047,All 3 year olds,%,Influenza (seasonal flu),47.38538681948420
13a_13b,2018-19,North East,E12000001,Darlington,E06000005,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),48.33333333333330
13a_13b,2018-19,North East,E12000001,Darlington,E06000005,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),46.33936261843240
13a_13b,2018-19,North East,E12000001,Darlington,E06000005,All 3 year olds,%,Influenza (seasonal flu),46.43734643734640
13a_13b,2018-19,North East,E12000001,Gateshead,E08000037,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),57.14285714285710
13a_13b,2018-19,North East,E12000001,Gateshead,E08000037,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),47.42959320518550
13a_13b,2018-19,North East,E12000001,Gateshead,E08000037,All 3 year olds,%,Influenza (seasonal flu),47.72431729518860
13a_13b,2018-19,North East,E12000001,Hartlepool,E06000001,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),51.42857142857140
13a_13b,2018-19,North East,E12000001,Hartlepool,E06000001,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),32.82001924927820
13a_13b,2018-19,North East,E12000001,Hartlepool,E06000001,All 3 year olds,%,Influenza (seasonal flu),33.42644320297950
13a_13b,2018-19,North East,E12000001,Middlesbrough,E06000002,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),53.52112676056340
13a_13b,2018-19,North East,E12000001,Middlesbrough,E06000002,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),29.61240310077520
13a_13b,2018-19,North East,E12000001,Middlesbrough,E06000002,All 3 year olds,%,Influenza (seasonal flu),30.45862412761710
13a_13b,2018-19,North East,E12000001,Newcastle upon Tyne,E08000021,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),58.06451612903230
13a_13b,2018-19,North East,E12000001,Newcastle upon Tyne,E08000021,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),47.41406008052030
13a_13b,2018-19,North East,E12000001,Newcastle upon Tyne,E08000021,All 3 year olds,%,Influenza (seasonal flu),47.80793319415450
13a_13b,2018-19,North East,E12000001,North Tyneside,E08000022,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),53.84615384615380
13a_13b,2018-19,North East,E12000001,North Tyneside,E08000022,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),47.18309859154930
13a_13b,2018-19,North East,E12000001,North Tyneside,E08000022,All 3 year olds,%,Influenza (seasonal flu),47.41847826086960
13a_13b,2018-19,North East,E12000001,Northumberland,E06000057,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),60.71428571428570
13a_13b,2018-19,North East,E12000001,Northumberland,E06000057,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),54.86486486486490
13a_13b,2018-19,North East,E12000001,Northumberland,E06000057,All 3 year olds,%,Influenza (seasonal flu),55.07812500000000
13a_13b,2018-19,North East,E12000001,Redcar and Cleveland,E06000003,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),50.74626865671640
13a_13b,2018-19,North East,E12000001,Redcar and Cleveland,E06000003,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),45.72463768115940
13a_13b,2018-19,North East,E12000001,Redcar and Cleveland,E06000003,All 3 year olds,%,Influenza (seasonal flu),45.95715272978580
13a_13b,2018-19,North East,E12000001,South Tyneside,E08000023,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),65.57377049180330
13a_13b,2018-19,North East,E12000001,South Tyneside,E08000023,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),49.59702417854930
13a_13b,2018-19,North East,E12000001,South Tyneside,E08000023,All 3 year olds,%,Influenza (seasonal flu),50.17921146953400
13a_13b,2018-19,North East,E12000001,Stockton-on-Tees,E06000004,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),50.48543689320390
13a_13b,2018-19,North East,E12000001,Stockton-on-Tees,E06000004,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),50.24239753195240
13a_13b,2018-19,North East,E12000001,Stockton-on-Tees,E06000004,All 3 year olds,%,Influenza (seasonal flu),50.25295109612140
13a_13b,2018-19,North East,E12000001,Sunderland,E08000024,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),53.12500000000000
13a_13b,2018-19,North East,E12000001,Sunderland,E08000024,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),43.72990353697750
13a_13b,2018-19,North East,E12000001,Sunderland,E08000024,All 3 year olds,%,Influenza (seasonal flu),43.93992315752710
