Table_Ref,CollectionYearRange,Child_Age,Parent_Org_Code,Parent_Org_Name,Unit,Indicator,Value
4,2008-09,24m,E12000001,North East,%,DTaP_IPV_Hib,95.13625976329340
4,2008-09,24m,E12000002,North West,%,DTaP_IPV_Hib,95.16119044375360
4,2008-09,24m,E12000003,Yorkshire and the Humber,%,DTaP_IPV_Hib,95.38495673396940
4,2008-09,24m,E12000004,East Midlands,%,DTaP_IPV_Hib,96.24249948272290
4,2008-09,24m,E12000005,West Midlands,%,DTaP_IPV_Hib,96.13092156833750
4,2008-09,24m,E12000006,East of England,%,DTaP_IPV_Hib,95.13437631156200
4,2008-09,24m,E12000007,London,%,DTaP_IPV_Hib,86.51607491354810
4,2008-09,24m,E12000008,South East,%,DTaP_IPV_Hib,95.39065352318360
4,2008-09,24m,E12000009,South West,%,DTaP_IPV_Hib,95.68470129025260
4,2008-09,24m,ENG,England,%,DTaP_IPV_Hib,93.85415660179210
4,2009-10,24m,E12000001,North East,%,DTaP_IPV_Hib,96.90180174190550
4,2009-10,24m,E12000002,North West,%,DTaP_IPV_Hib,96.58348963650610
4,2009-10,24m,E12000003,Yorkshire and the Humber,%,DTaP_IPV_Hib,96.29777682113100
4,2009-10,24m,E12000004,East Midlands,%,DTaP_IPV_Hib,96.61840244174790
4,2009-10,24m,E12000005,West Midlands,%,DTaP_IPV_Hib,96.80377259627980
4,2009-10,24m,E12000006,East of England,%,DTaP_IPV_Hib,95.79425495226480
4,2009-10,24m,E12000007,London,%,DTaP_IPV_Hib,90.75529237124050
4,2009-10,24m,E12000008,South East,%,DTaP_IPV_Hib,95.78806554870770
4,2009-10,24m,E12000009,South West,%,DTaP_IPV_Hib,96.58077048701240
4,2009-10,24m,ENG,England,%,DTaP_IPV_Hib,95.29378548986390
4,2010-11,24m,E12000001,North East,%,DTaP_IPV_Hib,97.36969613068460
4,2010-11,24m,E12000002,North West,%,DTaP_IPV_Hib,96.84475243098250
4,2010-11,24m,E12000003,Yorkshire and the Humber,%,DTaP_IPV_Hib,96.79161372299870
4,2010-11,24m,E12000004,East Midlands,%,DTaP_IPV_Hib,97.09860994495760
4,2010-11,24m,E12000005,West Midlands,%,DTaP_IPV_Hib,97.30761473969290
4,2010-11,24m,E12000006,East of England,%,DTaP_IPV_Hib,96.29766854664960
4,2010-11,24m,E12000007,London,%,DTaP_IPV_Hib,92.85015470518520
4,2010-11,24m,E12000008,South East,%,DTaP_IPV_Hib,96.02720726540380
4,2010-11,24m,E12000009,South West,%,DTaP_IPV_Hib,96.65714334593600
