Table_Ref,CollectionYearRange,Child_Age,Unit,Indicator,Value
6,1988-89,12m,%,Diphtheria,63.00000000000000
6,1989-90,12m,%,Diphtheria,67.00000000000000
6,1990-91,12m,%,Diphtheria,81.00000000000000
6,1991-92,12m,%,Diphtheria,91.00000000000000
6,1992-93,12m,%,Diphtheria,93.00000000000000
6,1993-94,12m,%,Diphtheria,92.00000000000000
6,1994-95,12m,%,Diphtheria,92.00000000000000
6,1995-96,12m,%,Diphtheria,93.00000000000000
6,1996-97,12m,%,Diphtheria,93.00000000000000
6,1997-98,12m,%,Diphtheria,92.50000000000000
6,1998-99,12m,%,Diphtheria,92.00000000000000
6,1999-2000,12m,%,Diphtheria,92.00000000000000
6,2000-01,12m,%,Diphtheria,91.20000000000000
6,2001-02,12m,%,Diphtheria,90.70000000000000
6,2002-03,12m,%,Diphtheria,90.90000000000000
6,2003-04,12m,%,Diphtheria,90.90000000000000
6,2004-05,12m,%,Diphtheria,90.10000000000000
6,2005-06,12m,%,Diphtheria,91.40000000000000
6,2006-07,12m,%,DTaP_IPV_Hib,91.10335842451220
6,2007-08,12m,%,DTaP_IPV_Hib,91.27328400102070
6,2008-09,12m,%,DTaP_IPV_Hib,92.03012644915130
6,2009-10,12m,%,DTaP_IPV_Hib,93.61114578836780
6,2010-11,12m,%,DTaP_IPV_Hib,94.15002675925420
6,2011-12,12m,%,DTaP_IPV_Hib,94.66758770645060
6,2012-13,12m,%,DTaP_IPV_Hib,94.74058166894820
6,2013-14,12m,%,DTaP_IPV_Hib,94.33724758879920
6,2014-15,12m,%,DTaP_IPV_Hib,94.22824601780000
6,2015-16,12m,%,DTaP_IPV_Hib,93.55915264685700
6,2016-17,12m,%,DTaP_IPV_Hib,93.40648938120380
6,2017-18,12m,%,DTaP_IPV_Hib,93.12488076383820
6,2018-19,12m,%,DTaP_IPV_Hib,92.09286961300210
