Table_Ref,CollectionYearRange,Parent_Org_ONS_Code,Parent_Org_Name,Org_ONS_Code,Org_Name,Child_Age,Unit,Indicator,Value
9a_9b_9c,2018-19,E12000001,North East,E06000001,Hartlepool,24m,Number,24m_Eligible_Pop,1057
9a_9b_9c,2018-19,E12000001,North East,E06000001,Hartlepool,24m,Number,DTap_IPV_Hib,1003
9a_9b_9c,2018-19,E12000001,North East,E06000001,Hartlepool,24m,Number,MMR,951
9a_9b_9c,2018-19,E12000001,North East,E06000001,Hartlepool,24m,Number,Hib_MenC,958
9a_9b_9c,2018-19,E12000001,North East,E06000001,Hartlepool,24m,Number,PCV,961
9a_9b_9c,2018-19,E12000001,North East,E06000001,Hartlepool,24m,Number,MenB_booster,924
9a_9b_9c,2018-19,E12000001,North East,E06000002,Middlesbrough,24m,Number,24m_Eligible_Pop,1964
9a_9b_9c,2018-19,E12000001,North East,E06000002,Middlesbrough,24m,Number,DTap_IPV_Hib,1855
9a_9b_9c,2018-19,E12000001,North East,E06000002,Middlesbrough,24m,Number,MMR,1774
9a_9b_9c,2018-19,E12000001,North East,E06000002,Middlesbrough,24m,Number,Hib_MenC,1772
9a_9b_9c,2018-19,E12000001,North East,E06000002,Middlesbrough,24m,Number,PCV,1778
9a_9b_9c,2018-19,E12000001,North East,E06000002,Middlesbrough,24m,Number,MenB_booster,1749
9a_9b_9c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,24m,Number,24m_Eligible_Pop,1484
9a_9b_9c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,24m,Number,DTap_IPV_Hib,1438
9a_9b_9c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,24m,Number,MMR,1394
9a_9b_9c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,24m,Number,Hib_MenC,1395
9a_9b_9c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,24m,Number,PCV,1397
9a_9b_9c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,24m,Number,MenB_booster,1383
9a_9b_9c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,24m,Number,24m_Eligible_Pop,2286
9a_9b_9c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,24m,Number,DTap_IPV_Hib,2213
9a_9b_9c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,24m,Number,MMR,2167
9a_9b_9c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,24m,Number,Hib_MenC,2173
9a_9b_9c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,24m,Number,PCV,2170
9a_9b_9c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,24m,Number,MenB_booster,2136
9a_9b_9c,2018-19,E12000001,North East,E06000005,Darlington,24m,Number,24m_Eligible_Pop,1054
9a_9b_9c,2018-19,E12000001,North East,E06000005,Darlington,24m,Number,DTap_IPV_Hib,1024
9a_9b_9c,2018-19,E12000001,North East,E06000005,Darlington,24m,Number,MMR,986
9a_9b_9c,2018-19,E12000001,North East,E06000005,Darlington,24m,Number,Hib_MenC,992
9a_9b_9c,2018-19,E12000001,North East,E06000005,Darlington,24m,Number,PCV,992
9a_9b_9c,2018-19,E12000001,North East,E06000005,Darlington,24m,Number,MenB_booster,986
9a_9b_9c,2018-19,E12000001,North East,E06000047,County Durham,24m,Number,24m_Eligible_Pop,5454
9a_9b_9c,2018-19,E12000001,North East,E06000047,County Durham,24m,Number,DTap_IPV_Hib,5386
9a_9b_9c,2018-19,E12000001,North East,E06000047,County Durham,24m,Number,MMR,5298
9a_9b_9c,2018-19,E12000001,North East,E06000047,County Durham,24m,Number,Hib_MenC,5315
9a_9b_9c,2018-19,E12000001,North East,E06000047,County Durham,24m,Number,PCV,5318
9a_9b_9c,2018-19,E12000001,North East,E06000047,County Durham,24m,Number,MenB_booster,5281
9a_9b_9c,2018-19,E12000001,North East,E06000057,Northumberland,24m,Number,24m_Eligible_Pop,3092
9a_9b_9c,2018-19,E12000001,North East,E06000057,Northumberland,24m,Number,DTap_IPV_Hib,2960
9a_9b_9c,2018-19,E12000001,North East,E06000057,Northumberland,24m,Number,MMR,2912
9a_9b_9c,2018-19,E12000001,North East,E06000057,Northumberland,24m,Number,Hib_MenC,2914
9a_9b_9c,2018-19,E12000001,North East,E06000057,Northumberland,24m,Number,PCV,2915
9a_9b_9c,2018-19,E12000001,North East,E06000057,Northumberland,24m,Number,MenB_booster,2667
9a_9b_9c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,24m,Number,24m_Eligible_Pop,3230
9a_9b_9c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,24m,Number,DTap_IPV_Hib,3073
9a_9b_9c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,24m,Number,MMR,3000
9a_9b_9c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,24m,Number,Hib_MenC,2988
9a_9b_9c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,24m,Number,PCV,2992
9a_9b_9c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,24m,Number,MenB_booster,2871
9a_9b_9c,2018-19,E12000001,North East,E08000022,North Tyneside,24m,Number,24m_Eligible_Pop,2276
9a_9b_9c,2018-19,E12000001,North East,E08000022,North Tyneside,24m,Number,DTap_IPV_Hib,2227
9a_9b_9c,2018-19,E12000001,North East,E08000022,North Tyneside,24m,Number,MMR,2193
9a_9b_9c,2018-19,E12000001,North East,E08000022,North Tyneside,24m,Number,Hib_MenC,2196
9a_9b_9c,2018-19,E12000001,North East,E08000022,North Tyneside,24m,Number,PCV,2198
9a_9b_9c,2018-19,E12000001,North East,E08000022,North Tyneside,24m,Number,MenB_booster,2169
9a_9b_9c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,24m_Eligible_Pop,1703
9a_9b_9c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,DTap_IPV_Hib,1673
9a_9b_9c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,MMR,1639
9a_9b_9c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,Hib_MenC,1649
9a_9b_9c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,PCV,1644
9a_9b_9c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,MenB_booster,1629
9a_9b_9c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,24m_Eligible_Pop,2997
9a_9b_9c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,DTap_IPV_Hib,2898
9a_9b_9c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,MMR,2857
9a_9b_9c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,Hib_MenC,2861
9a_9b_9c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,PCV,2866
9a_9b_9c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,MenB_booster,2786
